,AR5 BAU,AR5 BAU,Pledges and targets,Pledges and targets,Current policy projections,Current policy projections,Optimistic Policy Projections,2C consistent,2C consistent,2C consistent,1.5C consistent,1.5C consistent,1.5C consistent
, high,low, high,low, high,low,median, high,median,low, high,median,low
2010,48.96,43.80,48.12,48.12,48.13,48.13,48.13,48.10,48.10,48.10,48.10,48.10,48.10
2011,50.71,44.76,49.16,49.16,49.18,49.18,49.18,48.84,48.64,48.41,48.67,48.64,48.34
2012,52.46,45.72,49.62,49.62,49.65,49.65,49.65,49.57,49.17,48.71,49.25,49.17,48.58
2013,54.21,46.68,50.16,50.08,50.33,50.33,50.33,50.31,49.71,49.02,49.82,49.71,48.82
2014,55.96,47.63,50.32,49.98,50.46,50.46,50.46,51.04,50.25,49.33,50.39,50.25,49.06
2015,57.71,48.59,50.42,50.16,50.59,50.56,50.57,51.78,50.78,49.63,50.96,50.78,49.31
2016,59.46,49.55,50.37,50.15,50.65,50.59,50.59,52.51,51.32,49.94,51.54,51.32,49.55
2017,61.22,50.51,50.80,50.52,51.22,51.11,51.12,53.25,51.86,50.25,52.11,51.86,49.79
2018,62.97,51.47,51.19,50.70,51.86,51.67,51.67,53.98,52.39,50.55,52.68,52.39,50.03
2019,64.72,52.43,51.45,50.55,52.18,51.73,51.79,54.72,52.93,50.86,53.26,52.93,50.27
2020,66.47,53.39,51.71,50.43,52.44,51.71,51.74,55.45,53.47,51.17,53.83,53.47,50.51
2021,68.01,54.03,52.05,50.26,52.88,51.88,51.86,54.25,51.97,49.47,51.20,50.72,47.59
2022,69.55,54.66,52.45,50.44,53.41,52.16,52.10,53.05,50.47,47.77,48.57,47.96,44.67
2023,71.08,55.30,52.84,50.64,53.94,52.46,52.37,51.85,48.98,46.07,45.94,45.21,41.74
2024,72.62,55.94,53.25,50.85,54.48,52.77,52.65,50.64,47.48,44.38,43.31,42.46,38.82
2025,74.16,56.57,53.61,50.99,55.06,53.09,52.94,49.44,45.98,42.68,40.68,39.71,35.89
2026,75.70,57.21,53.87,51.10,55.56,53.37,53.20,48.24,44.48,40.98,38.05,36.96,32.97
2027,77.24,57.84,54.12,51.22,56.07,53.66,53.46,47.04,42.99,39.28,35.42,34.21,30.05
2028,78.78,58.48,54.40,51.34,56.60,53.97,53.74,45.83,41.49,37.59,32.79,31.45,27.12
2029,80.32,59.11,54.54,51.46,57.12,54.30,54.05,44.63,39.99,35.89,30.16,28.70,24.20
2030,81.86,59.75,54.65,51.58,57.63,54.60,54.32,43.43,38.49,34.19,27.53,25.95,21.28
2031,83.05,60.35,54.73,51.99,58.02,54.67,54.39,42.29,37.36,33.14,26.42,24.66,20.24
2032,84.25,60.94,54.73,51.82,58.40,54.68,54.40,41.14,36.23,32.09,25.31,23.37,19.21
2033,85.44,61.54,54.72,51.62,58.78,54.67,54.40,40.00,35.10,31.03,24.19,22.08,18.18
2034,86.64,62.13,54.69,51.43,59.15,54.64,54.37,38.86,33.96,29.98,23.08,20.79,17.15
2035,87.83,62.73,54.65,51.23,59.50,54.62,54.33,37.71,32.83,28.93,21.97,19.50,16.12
2036,89.03,63.32,54.63,51.00,59.85,54.61,54.29,36.57,31.70,27.87,20.86,18.21,15.08
2037,90.22,63.92,54.62,50.76,60.16,54.61,54.26,35.43,30.57,26.82,19.75,16.92,14.05
2038,91.42,64.51,54.61,50.50,60.45,54.60,54.22,34.29,29.43,25.77,18.63,15.63,13.02
2039,92.61,65.11,54.59,50.21,60.71,54.60,54.17,33.14,28.30,24.72,17.52,14.34,11.99
2040,93.81,65.71,54.54,49.91,60.93,54.57,54.11,32.00,27.17,23.66,16.41,13.05,10.96
2041,95.47,66.53,54.51,49.60,61.19,54.54,54.05,31.05,26.34,22.82,15.78,12.47,10.38
2042,97.13,67.36,54.43,49.23,61.43,54.43,53.91,30.10,25.51,21.97,15.15,11.89,9.79
2043,98.79,68.19,54.31,48.80,61.66,54.27,53.72,29.15,24.68,21.13,14.52,11.31,9.21
2044,100.45,69.02,54.15,48.33,61.89,54.05,53.48,28.20,23.85,20.29,13.88,10.73,8.63
2045,102.10,69.85,53.97,47.81,62.13,53.81,53.20,27.25,23.01,19.44,13.25,10.15,8.05
2046,103.76,70.67,53.81,47.29,62.36,53.60,52.94,26.30,22.18,18.60,12.62,9.57,7.47
2047,105.42,71.50,53.66,46.74,62.58,53.41,52.68,25.35,21.35,17.76,11.99,8.99,6.88
2048,107.08,72.33,53.50,46.20,62.77,53.20,52.41,24.41,20.52,16.91,11.36,8.41,6.30
2049,108.74,73.16,53.31,45.66,62.93,52.98,52.15,23.46,19.69,16.07,10.73,7.83,5.72
2050,110.40,73.99,53.11,45.11,63.05,52.74,51.91,22.51,18.86,15.22,10.10,7.25,5.14
2051,111.84,74.67,52.76,44.51,63.12,52.34,51.57,21.68,18.20,14.63,9.60,6.95,4.68
2052,113.27,75.36,52.40,43.86,63.08,51.89,51.24,20.85,17.54,14.04,9.10,6.65,4.22
2053,114.71,76.05,52.06,43.18,63.00,51.37,50.92,20.03,16.88,13.44,8.61,6.35,3.76
2054,116.14,76.73,51.71,42.48,62.88,50.80,50.63,19.20,16.22,12.85,8.11,6.04,3.31
2055,117.58,77.42,51.33,41.78,62.73,50.22,50.34,18.38,15.56,12.26,7.61,5.74,2.85
2056,119.02,78.11,50.84,41.10,62.53,49.68,50.01,17.55,14.89,11.67,7.11,5.44,2.39
2057,120.45,78.80,50.29,40.44,62.31,49.19,49.63,16.72,14.23,11.07,6.62,5.14,1.93
2058,121.89,79.48,49.74,39.79,62.09,48.76,49.20,15.90,13.57,10.48,6.12,4.84,1.47
2059,123.32,80.17,49.23,39.17,61.91,48.37,48.78,15.07,12.91,9.89,5.62,4.54,1.02
2060,124.76,80.86,48.78,38.59,61.76,48.03,48.39,14.24,12.25,9.29,5.12,4.23,0.56
2061,126.38,81.28,48.32,38.03,61.58,47.66,47.96,13.80,11.79,8.82,4.89,3.81,0.27
2062,128.00,81.69,47.82,37.48,61.38,47.27,47.51,13.35,11.33,8.36,4.66,3.39,-0.03
2063,129.62,82.11,47.25,36.96,61.17,46.87,47.00,12.90,10.87,7.89,4.42,2.97,-0.32
2064,131.24,82.53,46.59,36.48,60.98,46.45,46.46,12.46,10.42,7.42,4.19,2.55,-0.61
2065,132.86,82.94,45.89,36.05,60.81,46.02,45.89,12.01,9.96,6.95,3.96,2.13,-0.90
2066,134.48,83.36,45.22,35.63,60.65,45.56,45.35,11.56,9.50,6.48,3.72,1.71,-1.19
2067,136.10,83.77,44.62,35.25,60.53,45.06,44.82,11.12,9.04,6.01,3.49,1.29,-1.49
2068,137.72,84.19,44.04,34.88,60.41,44.55,44.29,10.67,8.58,5.54,3.26,0.87,-1.78
2069,139.34,84.61,43.50,34.51,60.31,44.04,43.76,10.22,8.12,5.08,3.03,0.45,-2.07
2070,140.96,85.02,42.99,34.15,60.21,43.55,43.26,9.78,7.66,4.61,2.79,0.02,-2.36
2071,141.74,85.32,42.54,33.82,60.11,43.12,42.78,9.53,7.26,4.43,2.68,-0.14,-2.69
2072,142.53,85.62,42.09,33.48,60.01,42.73,42.29,9.27,6.85,4.25,2.57,-0.31,-3.02
2073,143.31,85.91,41.68,33.14,59.90,42.39,41.82,9.02,6.44,4.07,2.46,-0.47,-3.35
2074,144.09,86.21,41.27,32.79,59.76,42.11,41.37,8.77,6.03,3.89,2.35,-0.64,-3.68
2075,144.87,86.51,40.87,32.46,59.62,41.89,40.94,8.52,5.63,3.71,2.24,-0.81,-4.01
2076,145.66,86.80,40.48,32.14,59.45,41.76,40.55,8.27,5.22,3.53,2.13,-0.97,-4.34
2077,146.44,87.10,40.10,31.83,59.29,41.69,40.19,8.02,4.81,3.35,2.02,-1.14,-4.67
2078,147.22,87.40,39.74,31.53,59.13,41.64,39.87,7.77,4.40,3.17,1.91,-1.31,-5.00
2079,148.00,87.69,39.39,31.24,58.98,41.58,39.58,7.52,3.99,2.99,1.79,-1.47,-5.33
2080,148.79,87.99,39.07,30.96,58.82,41.52,39.32,7.27,3.59,2.81,1.68,-1.64,-5.66
2081,150.04,87.96,38.74,30.68,58.61,41.41,39.03,7.11,3.54,2.41,1.39,-1.68,-5.85
2082,151.29,87.92,38.40,30.40,58.30,41.26,38.74,6.95,3.48,2.02,1.09,-1.72,-6.04
2083,152.54,87.89,38.06,30.12,57.91,41.07,38.45,6.79,3.43,1.62,0.80,-1.75,-6.23
2084,153.79,87.85,37.71,29.84,57.47,40.86,38.16,6.63,3.38,1.23,0.50,-1.79,-6.41
2085,155.05,87.82,37.38,29.56,57.01,40.64,37.89,6.46,3.33,0.83,0.20,-1.83,-6.60
2086,156.30,87.79,37.06,29.29,56.55,40.40,37.60,6.30,3.28,0.44,-0.09,-1.87,-6.79
2087,157.55,87.75,36.77,29.03,56.14,40.16,37.32,6.14,3.23,0.04,-0.39,-1.91,-6.98
2088,158.80,87.72,36.49,28.78,55.80,39.94,37.06,5.98,3.18,-0.35,-0.68,-1.95,-7.17
2089,160.06,87.68,36.23,28.54,55.51,39.78,36.84,5.82,3.13,-0.75,-0.98,-1.98,-7.36
2090,161.31,87.65,36.00,28.30,55.26,39.65,36.65,5.66,3.08,-1.14,-1.27,-2.02,-7.54
2091,162.69,87.15,35.77,28.08,55.05,39.56,36.47,5.52,2.96,-1.42,-1.36,-2.30,-7.69
2092,164.07,86.65,35.53,27.84,54.87,39.49,36.30,5.38,2.84,-1.70,-1.44,-2.57,-7.84
2093,165.46,86.15,35.27,27.60,54.70,39.44,36.13,5.23,2.72,-1.97,-1.53,-2.85,-7.99
2094,166.84,85.65,35.01,27.35,54.53,39.39,35.96,5.09,2.61,-2.25,-1.61,-3.12,-8.14
2095,168.22,85.15,34.73,27.10,54.37,39.36,35.78,4.95,2.49,-2.53,-1.70,-3.40,-8.28
2096,169.61,84.65,34.44,26.85,54.24,39.32,35.59,4.81,2.37,-2.81,-1.78,-3.67,-8.43
2097,170.99,84.16,34.14,26.61,54.12,39.26,35.39,4.66,2.25,-3.08,-1.87,-3.95,-8.58
2098,172.38,83.66,33.85,26.38,53.97,39.20,35.18,4.52,2.13,-3.36,-1.95,-4.22,-8.73
2099,173.76,83.16,33.57,26.16,53.80,39.13,34.99,4.38,2.01,-3.64,-2.04,-4.50,-8.87
2100,175.14,82.66,33.31,25.93,53.64,39.07,34.80,4.23,1.90,-3.91,-2.12,-4.77,-9.02
