Model,Scenario,Region,Variable,Unit,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120,2121,2122,2123,2124,2125,2126,2127,2128,2129,2130,2131,2132,2133,2134,2135,2136,2137,2138,2139,2140,2141,2142,2143,2144,2145,2146,2147,2148,2149,2150
AIM,rcp60,World,Emissions|CO2,Mt CO2/yr,34367.3,34355.42,34343.54,34331.66,34319.78,34307.9,34337.63667,34367.37333,34397.11,34426.84667,34456.58333,34486.32,34516.05667,34545.79333,34575.53,34605.26667,35119.48,35633.69333,36147.90667,36662.12,37176.33333,37690.54667,38204.76,38718.97333,39233.18667,39747.4,40385.32667,41023.25333,41661.18,42299.10667,42937.03333,43574.96,44212.88667,44850.81333,45488.74,46126.66667,46854.86667,47583.06667,48311.26667,49039.46667,49767.66667,50495.86667,51224.06667,51952.26667,52680.46667,53408.66667,54109.25667,54809.84667,55510.43667,56211.02667,56911.61667,57612.20667,58312.79667,59013.38667,59713.97667,60414.56667,60798.83333,61183.1,61567.36667,61951.63333,62335.9,62720.16667,63104.43333,63488.7,63872.96667,64257.23333,63168.56333,62079.89333,60991.22333,59902.55333,58813.88333,57725.21333,56636.54333,55547.87333,54459.20333,53370.53333,53142.87,52915.20667,52687.54333,52459.88,52232.21667,52004.55333,51776.89,51549.22667,51321.56333,51093.9,50315.39333,49536.88667,48758.38,47979.87333,47201.36667,46422.86,45644.35333,44865.84667,44087.34,43308.83333,42530.32667,41751.82,40973.31333,40194.80667,39416.3,38637.79333,37859.28667,37080.78,36302.27333,35523.76667,34745.26,33966.75333,33188.24667,32409.74,31631.23333,30879.3276,30127.42187,29375.51577,28623.61003,27871.7043,27119.79857,26367.89283,25615.9871,24864.081,24112.17527,23360.26953,22608.3638,21856.45807,21104.55233,20352.64623,19600.7405,18848.83477,18096.92903,17345.0233,16593.11757,15841.21147,15089.30573,14337.4,13081.93333,12856.06667
AIM,rcp60,World,Emissions|CO2|MAGICC AFOLU,Mt CO2/yr,2353.45,2180.713333,2007.976667,1835.24,1662.503333,1489.766667,1136.446667,783.1266667,429.8066667,76.48666667,-276.8333333,-630.1533333,-983.4733333,-1336.793333,-1690.113333,-2043.433333,-2100.926667,-2158.42,-2215.913333,-2273.406667,-2330.9,-2388.393333,-2445.886667,-2503.38,-2560.873333,-2618.366667,-2526.59,-2434.813333,-2343.036667,-2251.26,-2159.483333,-2067.706667,-1975.93,-1884.153333,-1792.376667,-1700.6,-1625.286667,-1549.973333,-1474.66,-1399.346667,-1324.033333,-1248.72,-1173.406667,-1098.093333,-1022.78,-947.4666667,-863.4633333,-779.46,-695.4566667,-611.4533333,-527.45,-443.4466667,-359.4433333,-275.44,-191.4366667,-107.4333333,-7.186666667,93.06,193.3066667,293.5533333,393.8,494.0466667,594.2933333,694.54,794.7866667,895.0333333,894.4466667,893.86,893.2733333,892.6866667,892.1,891.5133333,890.9266667,890.34,889.7533333,889.1666667,866.7633333,844.36,821.9566667,799.5533333,777.15,754.7466667,732.3433333,709.94,687.5366667,665.1333333,638.528,611.9226667,585.3173333,558.712,532.1066667,505.5013333,478.896,452.2906667,425.6853333,399.08,372.4746667,345.8693333,319.264,292.6586667,266.0533333,239.448,212.8426667,186.2373333,159.632,133.0266667,106.4213333,79.816,53.21066667,26.60533333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIM,rcp60,World,Emissions|CO2|MAGICC Fossil and Industrial,Mt CO2/yr,32013.85,32174.70667,32335.56333,32496.42,32657.27667,32818.13333,33201.19,33584.24667,33967.30333,34350.36,34733.41667,35116.47333,35499.53,35882.58667,36265.64333,36648.7,37220.40667,37792.11333,38363.82,38935.52667,39507.23333,40078.94,40650.64667,41222.35333,41794.06,42365.76667,42911.91667,43458.06667,44004.21667,44550.36667,45096.51667,45642.66667,46188.81667,46734.96667,47281.11667,47827.26667,48480.15333,49133.04,49785.92667,50438.81333,51091.7,51744.58667,52397.47333,53050.36,53703.24667,54356.13333,54972.72,55589.30667,56205.89333,56822.48,57439.06667,58055.65333,58672.24,59288.82667,59905.41333,60522,60806.02,61090.04,61374.06,61658.08,61942.1,62226.12,62510.14,62794.16,63078.18,63362.2,62274.11667,61186.03333,60097.95,59009.86667,57921.78333,56833.7,55745.61667,54657.53333,53569.45,52481.36667,52276.10667,52070.84667,51865.58667,51660.32667,51455.06667,51249.80667,51044.54667,50839.28667,50634.02667,50428.76667,49676.86533,48924.964,48173.06267,47421.16133,46669.26,45917.35867,45165.45733,44413.556,43661.65467,42909.75333,42157.852,41405.95067,40654.04933,39902.148,39150.24667,38398.34533,37646.444,36894.54267,36142.64133,35390.74,34638.83867,33886.93733,33135.036,32383.13467,31631.23333,30879.3276,30127.42187,29375.51577,28623.61003,27871.7043,27119.79857,26367.89283,25615.9871,24864.081,24112.17527,23360.26953,22608.3638,21856.45807,21104.55233,20352.64623,19600.7405,18848.83477,18096.92903,17345.0233,16593.11757,15841.21147,15089.30573,14337.4,13081.93333,12856.06667
AIM/CGE,ssp370,World,Emissions|CO2,Mt CO2/yr,39152.7263,40283.78868,41414.85107,42545.91345,43676.97584,44808.03822,45611.97033,46415.90244,47219.83455,48023.76666,48827.69877,49631.63088,50435.56299,51239.4951,52043.42721,52847.35932,53412.42037,53977.48142,54542.54247,55107.60352,55672.66458,56237.72563,56802.78668,57367.84773,57932.90878,58497.96983,58938.57871,59379.18759,59819.79647,60260.40535,60701.01423,61141.6231,61582.23198,62022.84086,62463.44974,62904.05862,63270.48952,63636.92042,64003.35132,64369.78222,64736.21312,65102.64402,65469.07492,65835.50582,66201.93672,66568.36762,66915.72872,67263.08981,67610.45091,67957.812,68305.1731,68652.53419,68999.89529,69347.25638,69694.61748,70041.97857,70378.30331,70714.62804,71050.95278,71387.27751,71723.60225,72059.92698,72396.25172,72732.57645,73068.90119,73405.22592,73844.60827,74283.99062,74723.37297,75162.75532,75602.13767,76041.52002,76480.90237,76920.28472,77359.66707,77799.04942,78291.72779,78784.40616,79277.08453,79769.7629,80262.44127,80755.11964,81247.79801,81740.47638,82233.15475,82725.83312,82138.91262,81551.99212,80965.07161,80378.15111,79791.23061,79204.31011,78617.38961,78030.4691,77443.5486,76856.6281,76269.7076,75682.7871,75095.86659,74508.94609,73922.02559,73335.10509,72748.18459,72161.26408,71574.34358,70987.42308,70400.50258,69813.58208,69226.66157,68639.74107,68052.82057,67465.90007,66878.97957,66292.05906,65705.13856,65118.21806,64531.29756,63944.37706,63357.45655,62770.53605,62183.61555,61596.69505,61009.77455,60422.85404,59835.93354,59249.01304,58662.09254,58075.17203,57488.25153,56901.33103,56314.41052,55727.49002,55140.56952,54553.64902,53966.72851,53379.80801
AIM/CGE,ssp370,World,Emissions|CO2|MAGICC AFOLU,Mt CO2/yr,3517.44,3588.970373,3660.500745,3732.031118,3803.56149,3875.091863,3839.38644,3803.681017,3767.975594,3732.270171,3696.564748,3660.859325,3625.153902,3589.448479,3553.743056,3518.037633,3482.424599,3446.811566,3411.198532,3375.585499,3339.972465,3304.359431,3268.746398,3233.133364,3197.520331,3161.907297,3134.629195,3107.351093,3080.072991,3052.794889,3025.516788,2998.238686,2970.960584,2943.682482,2916.40438,2889.126278,2914.668327,2940.210375,2965.752424,2991.294472,3016.83652,3042.378569,3067.920617,3093.462666,3119.004715,3144.546763,3134.943482,3125.340202,3115.736921,3106.13364,3096.530359,3086.927079,3077.323798,3067.720517,3058.117237,3048.513956,3027.99309,3007.472225,2986.951359,2966.430494,2945.909628,2925.388762,2904.867897,2884.347031,2863.826166,2843.3053,2815.46841,2787.63152,2759.79463,2731.95774,2704.12085,2676.28396,2648.44707,2620.61018,2592.77329,2564.9364,2574.05487,2583.17334,2592.29181,2601.41028,2610.52875,2619.64722,2628.76569,2637.88416,2647.00263,2656.1211,2602.998678,2549.876256,2496.753834,2443.631412,2390.50899,2337.386568,2284.264146,2231.141724,2178.019302,2124.89688,2071.774458,2018.652036,1965.529614,1912.407192,1859.28477,1806.162348,1753.039926,1699.917504,1646.795082,1593.67266,1540.550238,1487.427816,1434.305394,1381.182972,1328.06055,1274.938128,1221.815706,1168.693284,1115.570862,1062.44844,1009.326018,956.203596,903.081174,849.958752,796.83633,743.713908,690.591486,637.469064,584.346642,531.22422,478.101798,424.979376,371.856954,318.734532,265.61211,212.489688,159.367266,106.244844,53.122422,0
AIM/CGE,ssp370,World,Emissions|CO2|MAGICC Fossil and Industrial,Mt CO2/yr,35635.2863,36694.81831,37754.35032,38813.88234,39873.41435,40932.94636,41772.58389,42612.22142,43451.85896,44291.49649,45131.13402,45970.77155,46810.40908,47650.04662,48489.68415,49329.32168,49929.99577,50530.66985,51131.34394,51732.01802,52332.6921,52933.36619,53534.04027,54134.71436,54735.38844,55336.06253,55803.94951,56271.83649,56739.72347,57207.61045,57675.49744,58143.38442,58611.2714,59079.15838,59547.04536,60014.93234,60355.82119,60696.71004,61037.59889,61378.48774,61719.3766,62060.26545,62401.1543,62742.04315,63082.932,63423.82085,63780.78523,64137.7496,64494.71398,64851.67835,65208.64273,65565.60711,65922.57148,66279.53586,66636.50023,66993.46461,67350.31021,67707.15581,68064.00141,68420.84701,68777.69262,69134.53822,69491.38382,69848.22942,70205.07502,70561.92062,71029.13986,71496.3591,71963.57834,72430.79758,72898.01682,73365.23606,73832.4553,74299.67454,74766.89378,75234.11302,75717.67292,76201.23282,76684.79272,77168.35262,77651.91252,78135.47242,78619.03232,79102.59222,79586.15212,80069.71202,79535.91394,79002.11586,78468.31778,77934.5197,77400.72162,76866.92354,76333.12546,75799.32738,75265.5293,74731.73122,74197.93314,73664.13506,73130.33698,72596.5389,72062.74082,71528.94274,70995.14466,70461.34658,69927.5485,69393.75042,68859.95234,68326.15426,67792.35618,67258.5581,66724.76002,66190.96194,65657.16386,65123.36578,64589.5677,64055.76962,63521.97154,62988.17346,62454.37538,61920.5773,61386.77922,60852.98114,60319.18306,59785.38498,59251.5869,58717.78882,58183.99074,57650.19266,57116.39458,56582.5965,56048.79842,55515.00033,54981.20225,54447.40417,53913.60609,53379.80801
AIM/CGE,ssp370-lowNTCF-aerchemmip,World,Emissions|CO2,Mt CO2/yr,39152.7263,40283.78868,41414.85107,42545.91345,43676.97584,44808.03822,45611.97033,46415.90244,47219.83455,48023.76666,48827.69877,49631.63088,50435.56299,51239.4951,52043.42721,52847.35932,53412.42037,53977.48142,54542.54247,55107.60352,55672.66458,56237.72563,56802.78668,57367.84773,57932.90878,58497.96983,58938.57871,59379.18759,59819.79647,60260.40535,60701.01423,61141.6231,61582.23198,62022.84086,62463.44974,62904.05862,63270.48952,63636.92042,64003.35132,64369.78222,64736.21312,65102.64402,65469.07492,65835.50582,66201.93672,66568.36762,66915.72872,67263.08981,67610.45091,67957.812,68305.1731,68652.53419,68999.89529,69347.25638,69694.61748,70041.97857,70378.30331,70714.62804,71050.95278,71387.27751,71723.60225,72059.92698,72396.25172,72732.57645,73068.90119,73405.22592,73844.60827,74283.99062,74723.37297,75162.75532,75602.13767,76041.52002,76480.90237,76920.28472,77359.66707,77799.04942,78291.72779,78784.40616,79277.08453,79769.7629,80262.44127,80755.11964,81247.79801,81740.47638,82233.15475,82725.83312,82138.91262,81551.99212,80965.07161,80378.15111,79791.23061,79204.31011,78617.38961,78030.4691,77443.5486,76856.6281,76269.7076,75682.7871,75095.86659,74508.94609,73922.02559,73335.10509,72748.18459,72161.26408,71574.34358,70987.42308,70400.50258,69813.58208,69226.66157,68639.74107,68052.82057,67465.90007,66878.97957,66292.05906,65705.13856,65118.21806,64531.29756,63944.37706,63357.45655,62770.53605,62183.61555,61596.69505,61009.77455,60422.85404,59835.93354,59249.01304,58662.09254,58075.17203,57488.25153,56901.33103,56314.41052,55727.49002,55140.56952,54553.64902,53966.72851,53379.80801
AIM/CGE,ssp370-lowNTCF-aerchemmip,World,Emissions|CO2|MAGICC AFOLU,Mt CO2/yr,3517.44,3588.970373,3660.500745,3732.031118,3803.56149,3875.091863,3839.38644,3803.681017,3767.975594,3732.270171,3696.564748,3660.859325,3625.153902,3589.448479,3553.743056,3518.037633,3482.424599,3446.811566,3411.198532,3375.585499,3339.972465,3304.359431,3268.746398,3233.133364,3197.520331,3161.907297,3134.629195,3107.351093,3080.072991,3052.794889,3025.516788,2998.238686,2970.960584,2943.682482,2916.40438,2889.126278,2914.668327,2940.210375,2965.752424,2991.294472,3016.83652,3042.378569,3067.920617,3093.462666,3119.004715,3144.546763,3134.943482,3125.340202,3115.736921,3106.13364,3096.530359,3086.927079,3077.323798,3067.720517,3058.117237,3048.513956,3027.99309,3007.472225,2986.951359,2966.430494,2945.909628,2925.388762,2904.867897,2884.347031,2863.826166,2843.3053,2815.46841,2787.63152,2759.79463,2731.95774,2704.12085,2676.28396,2648.44707,2620.61018,2592.77329,2564.9364,2574.05487,2583.17334,2592.29181,2601.41028,2610.52875,2619.64722,2628.76569,2637.88416,2647.00263,2656.1211,2602.998678,2549.876256,2496.753834,2443.631412,2390.50899,2337.386568,2284.264146,2231.141724,2178.019302,2124.89688,2071.774458,2018.652036,1965.529614,1912.407192,1859.28477,1806.162348,1753.039926,1699.917504,1646.795082,1593.67266,1540.550238,1487.427816,1434.305394,1381.182972,1328.06055,1274.938128,1221.815706,1168.693284,1115.570862,1062.44844,1009.326018,956.203596,903.081174,849.958752,796.83633,743.713908,690.591486,637.469064,584.346642,531.22422,478.101798,424.979376,371.856954,318.734532,265.61211,212.489688,159.367266,106.244844,53.122422,0
AIM/CGE,ssp370-lowNTCF-aerchemmip,World,Emissions|CO2|MAGICC Fossil and Industrial,Mt CO2/yr,35635.2863,36694.81831,37754.35032,38813.88234,39873.41435,40932.94636,41772.58389,42612.22142,43451.85896,44291.49649,45131.13402,45970.77155,46810.40908,47650.04662,48489.68415,49329.32168,49929.99577,50530.66985,51131.34394,51732.01802,52332.6921,52933.36619,53534.04027,54134.71436,54735.38844,55336.06253,55803.94951,56271.83649,56739.72347,57207.61045,57675.49744,58143.38442,58611.2714,59079.15838,59547.04536,60014.93234,60355.82119,60696.71004,61037.59889,61378.48774,61719.3766,62060.26545,62401.1543,62742.04315,63082.932,63423.82085,63780.78523,64137.7496,64494.71398,64851.67835,65208.64273,65565.60711,65922.57148,66279.53586,66636.50023,66993.46461,67350.31021,67707.15581,68064.00141,68420.84701,68777.69262,69134.53822,69491.38382,69848.22942,70205.07502,70561.92062,71029.13986,71496.3591,71963.57834,72430.79758,72898.01682,73365.23606,73832.4553,74299.67454,74766.89378,75234.11302,75717.67292,76201.23282,76684.79272,77168.35262,77651.91252,78135.47242,78619.03232,79102.59222,79586.15212,80069.71202,79535.91394,79002.11586,78468.31778,77934.5197,77400.72162,76866.92354,76333.12546,75799.32738,75265.5293,74731.73122,74197.93314,73664.13506,73130.33698,72596.5389,72062.74082,71528.94274,70995.14466,70461.34658,69927.5485,69393.75042,68859.95234,68326.15426,67792.35618,67258.5581,66724.76002,66190.96194,65657.16386,65123.36578,64589.5677,64055.76962,63521.97154,62988.17346,62454.37538,61920.5773,61386.77922,60852.98114,60319.18306,59785.38498,59251.5869,58717.78882,58183.99074,57650.19266,57116.39458,56582.5965,56048.79842,55515.00033,54981.20225,54447.40417,53913.60609,53379.80801
AIM/CGE,ssp370-lowNTCF-gidden,World,Emissions|CO2,Mt CO2/yr,39152.7263,40291.11937,41429.51244,42567.9055,43706.29857,44844.69164,45664.84342,46484.99521,47305.14699,48125.29878,48945.45056,49765.60234,50585.75413,51405.90591,52226.0577,53046.20948,53652.76555,54259.32162,54865.87769,55472.43376,56078.98984,56685.54591,57292.10198,57898.65805,58505.21412,59111.77019,59576.0655,60040.36082,60504.65614,60968.95145,61433.24677,61897.54208,62361.8374,62826.13271,63290.42803,63754.72334,64197.99202,64641.26071,65084.52939,65527.79807,65971.06675,66414.33544,66857.60412,67300.8728,67744.14149,68187.41017,68608.80406,69030.19795,69451.59184,69872.98573,70294.37963,70715.77352,71137.16741,71558.5613,71979.95519,72401.34908,72819.45646,73237.56385,73655.67123,74073.77862,74491.886,74909.99338,75328.10077,75746.20815,76164.31554,76582.42292,77019.23347,77456.04402,77892.85457,78329.66512,78766.47567,79203.28622,79640.09677,80076.90732,80513.71787,80950.52842,81438.74479,81926.96116,82415.17753,82903.3939,83391.61027,83879.82664,84368.04301,84856.25938,85344.47575,85832.69212,85224.31589,84615.93966,84007.56343,83399.1872,82790.81097,82182.43473,81574.0585,80965.68227,80357.30604,79748.92981,79140.55358,78532.17735,77923.80111,77315.42488,76707.04865,76098.67242,75490.29619,74881.91995,74273.54372,73665.16749,73056.79126,72448.41503,71840.0388,71231.66257,70623.28634,70014.9101,69406.53387,68798.15764,68189.78141,67581.40518,66973.02895,66364.65272,65756.27648,65147.90025,64539.52402,63931.14779,63322.77156,62714.39532,62106.01909,61497.64286,60889.26663,60280.8904,59672.51417,59064.13794,58455.76171,57847.38547,57239.00924,56630.63301,56022.25678,55413.88055
AIM/CGE,ssp370-lowNTCF-gidden,World,Emissions|CO2|MAGICC AFOLU,Mt CO2/yr,3517.44,3589.795855,3662.15171,3734.507564,3806.863419,3879.219274,3843.346078,3807.472883,3771.599687,3735.726491,3699.853295,3663.9801,3628.106904,3592.233708,3556.360513,3520.487317,3484.878407,3449.269497,3413.660588,3378.051678,3342.442768,3306.833858,3271.224948,3235.616039,3200.007129,3164.398219,3137.436435,3110.47465,3083.512866,3056.551082,3029.589298,3002.627513,2975.665729,2948.703945,2921.74216,2894.780376,2920.798593,2946.816809,2972.835026,2998.853243,3024.87146,3050.889676,3076.907893,3102.92611,3128.944326,3154.962543,3145.913897,3136.865251,3127.816605,3118.767959,3109.719313,3100.670666,3091.62202,3082.573374,3073.524728,3064.476082,3044.554244,3024.632406,3004.710567,2984.788729,2964.866891,2944.945053,2925.023215,2905.101376,2885.179538,2865.2577,2850.83808,2836.41846,2821.99884,2807.57922,2793.1596,2778.73998,2764.32036,2749.90074,2735.48112,2721.0615,2720.14248,2719.22346,2718.30444,2717.38542,2716.4664,2715.54738,2714.62836,2713.70934,2712.79032,2711.8713,2657.633874,2603.396448,2549.159022,2494.921596,2440.68417,2386.446744,2332.209318,2277.971892,2223.734466,2169.49704,2115.259614,2061.022188,2006.784762,1952.547336,1898.30991,1844.072484,1789.835058,1735.597632,1681.360206,1627.12278,1572.885354,1518.647928,1464.410502,1410.173076,1355.93565,1301.698224,1247.460798,1193.223372,1138.985946,1084.74852,1030.511094,976.273668,922.036242,867.798816,813.56139,759.323964,705.086538,650.849112,596.611686,542.37426,488.136834,433.899408,379.661982,325.424556,271.18713,216.949704,162.712278,108.474852,54.237426,0
AIM/CGE,ssp370-lowNTCF-gidden,World,Emissions|CO2|MAGICC Fossil and Industrial,Mt CO2/yr,35635.2863,36701.32351,37767.36073,38833.39794,39899.43516,40965.47237,41821.49735,42677.52233,43533.54731,44389.57229,45245.59727,46101.62224,46957.64722,47813.6722,48669.69718,49525.72216,50167.88714,50810.05212,51452.2171,52094.38208,52736.54706,53378.71205,54020.87703,54663.04201,55305.20699,55947.37197,56438.62907,56929.88617,57421.14327,57912.40037,58403.65747,58894.91457,59386.17167,59877.42877,60368.68587,60859.94297,61277.19344,61694.4439,62111.69437,62528.94483,62946.1953,63363.44577,63780.69623,64197.9467,64615.19716,65032.44763,65462.89017,65893.3327,66323.77524,66754.21777,67184.66031,67615.10285,68045.54538,68475.98792,68906.43045,69336.87299,69774.90221,70212.93144,70650.96066,71088.98988,71527.01911,71965.04833,72403.07755,72841.10677,73279.136,73717.16522,74168.39539,74619.62556,75070.85573,75522.0859,75973.31607,76424.54624,76875.77641,77327.00658,77778.23675,78229.46692,78718.60231,79207.7377,79696.87309,80186.00848,80675.14387,81164.27926,81653.41465,82142.55004,82631.68543,83120.82082,82566.68202,82012.54321,81458.4044,80904.2656,80350.12679,79795.98799,79241.84918,78687.71038,78133.57158,77579.43277,77025.29396,76471.15516,75917.01635,75362.87755,74808.73874,74254.59993,73700.46113,73146.32232,72592.18352,72038.04471,71483.90591,70929.7671,70375.6283,69821.48949,69267.35069,68713.21188,68159.07308,67604.93427,67050.79547,66496.65666,65942.51785,65388.37905,64834.24024,64280.10144,63725.96263,63171.82382,62617.68502,62063.54621,61509.40741,60955.2686,60401.1298,59846.99099,59292.85218,58738.71338,58184.57458,57630.43577,57076.29697,56522.15816,55968.01935,55413.88055
GCAM4,ssp434,World,Emissions|CO2,Mt CO2/yr,39152.7263,39137.44495,39122.1636,39106.88224,39091.60089,39076.31954,38614.61753,38152.91552,37691.21351,37229.5115,36767.80949,36306.10749,35844.40548,35382.70347,34921.00146,34459.29945,33787.28044,33115.26144,32443.24243,31771.22342,31099.20442,30427.18541,29755.1664,29083.14739,28411.12839,27739.10938,26949.07527,26159.04115,25369.00704,24578.97293,23788.93881,22998.9047,22208.87059,21418.83648,20628.80236,19838.76825,19360.47376,18882.17928,18403.88479,17925.59031,17447.29582,16969.00133,16490.70685,16012.41236,15534.11788,15055.82339,14635.8147,14215.80601,13795.79733,13375.78864,12955.77995,12535.77126,12115.76257,11695.75389,11275.7452,10855.73651,10141.63089,9427.525266,8713.419643,7999.314021,7285.208399,6571.102777,5856.997155,5142.891532,4428.78591,3714.680288,2747.274598,1779.868908,812.4632186,-154.9424712,-1122.348161,-2089.753851,-3057.159541,-4024.56523,-4991.97092,-5959.37661,-6845.13349,-7730.89037,-8616.64725,-9502.40413,-10388.16101,-11273.91789,-12159.67477,-13045.43165,-13931.18853,-14816.94541,-14846.49209,-14876.03876,-14905.58544,-14935.13211,-14964.67879,-14994.22546,-15023.77214,-15053.31881,-15082.86549,-15112.41216,-15141.95883,-15171.50551,-15201.05218,-15230.59886,-15260.14553,-15289.6922,-15319.23888,-15348.78555,-15378.33223,-15407.8789,-15437.42557,-15466.97225,-15496.51892,-15526.0656,-15555.61227,-15585.15894,-15614.70562,-15644.25229,-15673.79897,-15703.34564,-15732.89231,-15762.43899,-15791.98566,-15821.53234,-15851.07901,-15880.62568,-15910.17236,-15939.71903,-15969.26571,-15998.81238,-15702.47347,-15406.13456,-15109.79566,-14813.45675,-14517.11784,-14220.77893,-13924.44002,-13628.10112,-13331.76221,-13035.4233
